rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
1,CLE,21,114,Nolan Jones,666134,218,41,69,18,3,4,.430,.912,.482,33,43,60,1,0,73,105,.317,3B,A(Short)
1,LA,21,119,Gavin Lux,666158,434,68,106,14,8,7,.331,.693,.362,39,56,88,27,10,161,157,.244,SS,A(Full)
1,CIN,20,113,Hunter Greene,668881,30,1,7,2,1,0,.233,.600,.367,3,0,8,0,0,22,11,.233,RHP,ROK
1,COL,23,115,Brendan Rodgers,663898,372,64,125,26,3,18,.373,.940,.567,64,14,71,2,3,150,211,.336,SS,ALL (2)
1,ATL,20,144,Cristian Pache,665506,469,60,132,13,8,0,.335,.678,.343,42,39,104,32,14,205,161,.281,CF,A(Full)
1,MIN,20,142,Royce Lewis,668904,204,54,57,8,3,4,.381,.788,.407,27,25,33,18,3,72,83,.279,SS,ALL (2)
1,ANA,20,108,Jo Adell,666176,203,43,66,11,8,5,.376,.908,.532,30,14,49,8,2,92,108,.325,OF,ALL (2)
1,HOU,22,117,Kyle Tucker,663656,464,70,127,33,5,25,.346,.874,.528,90,46,109,21,9,214,245,.274,LF,ALL (2)
1,CWS,22,145,Luis Robert,673357,84,17,26,8,1,3,.491,1.027,.536,14,22,23,12,3,32,45,.310,CF,ROK
1,WAS,22,120,Carter Kieboom,666198,219,41,65,16,0,9,.396,.889,.493,35,32,42,3,2,95,108,.297,SS,ALL (3)
2,SF,20,137,Heliot Ramos,671218,138,33,48,11,6,6,.404,1.049,.645,27,10,48,10,2,54,89,.348,OF,ROK
2,TB,23,139,Brendan McKay,656713,125,16,29,4,1,4,.349,.725,.376,22,21,33,2,0,55,47,.232,LHP,A(Short)
2,TEX,21,140,Sam Huff,669087,197,34,49,9,2,9,.329,.781,.452,31,24,66,3,2,106,89,.249,C,ROK
2,WAS,19,120,Luis Garcia,671277,199,25,60,8,3,1,.330,.717,.387,22,9,32,11,2,66,77,.302,SS,ROK
2,SD,21,135,Taylor Trammell,666211,491,80,138,24,10,13,.368,.818,.450,77,71,123,41,12,195,221,.281,LF,A(Full)
2,PIT,22,134,Ke'Bryan Hayes,663647,421,66,117,16,7,2,.345,.708,.363,43,41,76,27,5,159,153,.278,3B,A(Adv)
2,STL,20,138,Dylan Carlson,666185,383,63,92,18,1,7,.342,.689,.347,42,52,116,6,6,165,133,.240,CF,A(Full)
2,BOS,24,111,Bobby Dalbec,666915,311,51,77,16,0,13,.347,.771,.424,41,41,132,5,5,152,132,.248,3B,ALL (2)
2,CHC,20,112,Miguel Amaya,665804,228,21,52,14,1,3,.266,.604,.338,26,11,49,1,0,111,77,.228,C,A(Short)
2,NYY,21,147,Estevan Florial,664314,420,77,125,23,7,13,.372,.851,.479,57,50,148,23,8,182,201,.298,CF,ALL (2)
2,MIL,21,158,Tristen Lutz,669157,161,35,50,5,4,9,.398,.957,.559,27,16,42,3,4,60,90,.311,OF,ALL (2)
2,ANA,21,108,Brandon Marsh,669016,177,47,62,13,5,4,.396,.944,.548,44,9,35,10,2,85,97,.350,OF,ROK
2,ATL,20,144,Drew Waters,671221,198,33,55,14,2,4,.362,.791,.429,24,23,70,6,3,88,85,.278,OF,ALL (2)
3,HOU,19,117,Freudis Nova,671265,166,30,41,6,0,4,.342,.697,.355,16,15,33,8,3,77,59,.247,SS,ROK
3,LA,21,119,Keibert Ruiz,660688,376,58,119,23,2,8,.361,.813,.452,51,25,53,0,0,137,170,.316,C,ALL (2)
3,MIA,21,146,Jesus Sanchez,660821,475,81,145,29,4,15,.348,.826,.478,82,32,91,7,2,225,227,.305,CF,A(Full)
3,PIT,20,134,Oneil Cruz,665833,397,60,94,11,2,10,.297,.647,.350,44,36,132,8,7,152,139,.237,3B,ALL (2)
3,COL,21,115,Colton Welker,666213,254,32,89,18,1,6,.401,.901,.500,33,18,42,5,7,93,127,.350,3B,A(Full)
3,STL,24,138,Andrew Knizner,668800,361,45,109,23,1,12,.349,.820,.471,51,23,49,1,2,164,170,.302,C,ALL (2)
3,OAK,24,133,Sean Murphy,669221,356,47,89,18,0,13,.313,.723,.410,48,32,67,0,0,178,146,.250,C,ALL (2)
3,TB,21,139,Vidal Brujan,660644,260,51,74,15,5,3,.378,.793,.415,20,34,36,16,8,78,108,.285,2B,A(Short)
3,NYM,21,121,Andres Gimenez,665926,347,50,92,9,4,4,.346,.695,.349,31,28,61,14,8,143,121,.265,SS,A(Full)
4,SEA,23,136,Evan White,657108,47,6,13,1,1,3,.345,.877,.532,12,6,6,1,1,22,25,.277,1B,A(Short)
4,BAL,22,110,Ryan Mountcastle,663624,513,81,147,48,1,18,.312,.801,.489,62,17,96,8,2,236,251,.287,1B,ALL (2)
4,STL,21,138,Elehuris Montero,660707,173,30,48,16,1,5,.370,.838,.468,36,22,33,0,2,78,81,.277,3B,ROK
4,OAK,24,133,Jorge Mateo,622761,532,90,142,30,18,12,.322,.781,.459,57,40,144,52,13,186,244,.267,SS,ALL (3)
4,MIA,21,146,Jazz Chisholm,665862,109,14,27,5,2,1,.325,.683,.358,12,10,39,3,0,44,39,.248,SS,A(Full)
4,KC,21,118,Khalil Lee,666137,451,71,107,24,6,17,.344,.774,.430,61,65,171,20,18,140,194,.237,CF,A(Full)
4,CLE,20,114,Tyler Freeman,671289,128,19,38,9,0,2,.364,.778,.414,14,7,12,5,1,62,53,.297,SS,ROK
4,MIL,24,158,Corey Ray,641999,449,56,107,29,4,7,.311,.678,.367,48,48,156,24,10,170,165,.238,CF,A(Adv)
5,TEX,20,140,Leody Taveras,665750,522,73,130,20,7,8,.312,.672,.360,50,47,92,20,6,182,188,.249,CF,A(Full)
5,PIT,20,134,Cal Mitchell,668751,159,17,39,11,0,2,.351,.703,.352,20,24,35,2,3,75,56,.245,OF,ROK
5,ARI,23,109,Daulton Varsho,662139,193,36,60,16,3,7,.368,.902,.534,39,17,30,7,2,94,103,.311,C,A(Short)
5,MIA,23,146,Isan Diaz,656371,383,59,85,20,0,13,.334,.710,.376,54,62,121,9,3,176,144,.222,SS,A(Adv)
5,DET,20,116,Isaac Paredes,670623,452,65,114,28,0,11,.338,.725,.387,70,42,67,2,1,210,175,.252,SS,ALL (2)
5,BAL,22,110,Yusniel Diaz,666783,439,57,128,23,3,11,.354,.787,.433,52,45,102,9,14,188,190,.292,CF,ALL (2)
6,LA,21,119,Jeter Downs,669023,172,31,46,3,3,6,.370,.794,.424,29,27,32,8,5,56,73,.267,SS,ROK
6,ANA,22,108,Jahmai Jones,663330,518,86,146,29,7,14,.348,.794,.446,47,45,106,27,13,183,231,.282,CF,ALL (2)
6,HOU,22,117,Abraham Toro,647351,240,46,59,11,2,15,.364,.860,.496,33,40,51,3,3,84,119,.246,3B,ALL (2)
6,BAL,24,110,Austin Hays,669720,583,85,185,35,5,33,.353,.917,.564,103,27,101,5,7,236,329,.317,RF,ALL (3)
6,MIL,22,158,Trent Grisham,663757,457,78,102,21,6,8,.360,.708,.348,45,98,141,38,5,191,159,.223,CF,A(Adv)
6,STL,19,138,Ivan Herrera,671056,170,21,57,15,0,1,.425,.866,.441,27,18,36,2,2,78,75,.335,C,ROK
6,OAK,20,133,Nick Allen,669397,138,26,35,3,2,1,.322,.648,.326,14,13,28,7,3,53,45,.254,SS,ROK
6,COL,20,115,Ryan Vilade,668723,117,23,36,3,2,5,.438,.934,.496,21,27,31,5,5,58,58,.308,3B,ROK
6,MIA,24,146,Monte Harrison,656509,453,73,123,28,2,21,.350,.831,.481,67,43,139,27,4,198,218,.272,CF,ALL (2)
6,NYM,19,121,Mark Vientos,668901,191,23,50,14,0,4,.318,.716,.398,26,15,46,0,2,96,76,.262,SS,ALL (2)
7,ARI,19,109,Geraldo Perdomo,672695,214,42,51,3,2,1,.410,.695,.285,11,60,37,16,8,63,61,.238,SS,ROK
7,MIN,20,142,Wander Javier,665820,157,34,47,13,1,4,.383,.854,.471,22,19,49,4,3,73,74,.299,SS,ROK
