rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
1,NYY,20,147,665620,Deivi Garcia,26,1.35,111.1,96,58,53,54,165,10,334,486,,4.28,0,1,0,5,9,ALL (3)
1,SD,20,135,669022,MacKenzie Gore,20,0.83,101.0,56,19,19,28,135,7,303,378,,1.69,0,0,0,9,2,ALL (2)
1,OAK,21,133,666200,Jesus Luzardo,12,0.98,46.0,37,14,13,8,59,5,138,184,,2.54,0,1,0,2,1,ALL (4)
1,MIA,21,146,664350,Sixto Sanchez,20,1.07,114.0,101,39,35,21,103,6,342,457,,2.76,0,0,0,8,6,ALL (2)
1,DET,22,116,663554,Casey Mize,21,0.94,109.1,80,33,31,23,106,5,328,430,,2.55,0,0,0,8,3,ALL (2)
1,PIT,23,134,656605,Mitch Keller,28,1.41,141.2,153,82,76,47,174,15,425,617,,4.83,0,0,0,8,9,ALL (2)
1,TOR,23,141,663878,Nate Pearson,25,0.89,101.2,63,26,26,27,119,8,305,388,,2.30,0,0,0,5,4,ALL (3)
2,TB,23,139,656713,Brendan McKay,24,1.01,113.0,84,36,31,30,150,11,339,449,,2.47,0,0,0,8,3,ALL (3)
2,SEA,22,136,669302,Logan Gilbert,26,0.95,135.0,95,36,32,33,165,7,405,521,,2.13,0,0,0,10,5,ALL (3)
2,OAK,24,133,640462,A.J. Puk,23,1.27,30.2,25,18,16,14,44,8,92,126,,4.70,0,3,3,5,1,ALL (4)
2,CIN,21,113,666157,Nick Lodolo,8,0.98,18.1,18,7,5,0,30,1,55,74,,2.45,0,0,0,0,1,ALL (2)
2,HOU,21,117,666215,Forrest Whitley,18,1.73,59.2,59,54,53,44,86,11,179,278,,7.99,0,0,0,3,7,ALL (4)
2,BAL,19,110,680570,Grayson Rodriguez,20,0.99,94.0,57,30,28,36,129,4,282,377,,2.68,0,0,0,10,4,A(Full)
2,LA,22,119,669160,Dustin May,28,1.15,134.1,121,66,54,34,131,7,403,563,,3.62,0,0,1,7,8,ALL (3)
2,PHI,22,143,658431,Adonis Medina,22,1.36,105.2,103,69,58,41,82,11,317,468,,4.94,0,0,1,7,7,AA
